professor,review,tags
David Louis Pelletier,"NS 4600 is awful. Pelletier spends most of the lectures speaking about random things; the homework is unclear; literally no one has any idea what is going on at any point; no feedback is provided; he makes up arbitrary rules , etc. For a class designed around planning, the lack of a plan in this class is truly terrifying. He was decent Don't not take this course! It is very ambiguous and the tests demonstrate nothing from the lectures. he is a stickler on grades and makes his own grading scale that is different from the overall NS department scale. AVOID this course if you can awesome, fun, interesting course.","[""Skip class? You won't pass."", 'Get ready to read', 'Graded by few things']"
David M. Smith,,[]
Frances Heather Fairbairn,,[]
Ari  Juels,,[]
Serena  Muccitelli,,[]
Brandon  Bogusz,,[]
Fangfang  Li,"She's really cool! I had her for FALCON this previous semester, and she's so funny. Always draws Xs in the air when we get stuff wrong. Doesn't always speak clearly, but it's probably better for our overall Chinese language learning. Most people think this is a hard class. you gotta memorize all poems before each test! It's graded on improvement. If you honestly try hard, you wont get below A-. But no one tries hard; they treat this like an elective. It's 4 credits not 3! Very kind teacher; teaches well",[]
Mark Alan Underberg,,[]
Sarah  Kreps,,[]
Rachel  Sumner,,[]
Denise  Ramzy,,[]
Nicholas Lawrence Abbott,,[]
Sergio I Garcia-Rios,"Professor Garcia-Rios is very passionate about the subject, and this was clear during every lecture. The discussions we had were always interesting. loved the class but the turn around time on grading assignments has to improve","['Caring', 'Accessible outside class', 'Amazing lectures', 'Inspirational', 'Hilarious']"
Parfait M. Eloundou-Enyegue,"An extremely intelligent man, but not a very good professor for introductory classes. Very disorganized but still managed to teach so that material stuck the first time hearing it. Attend discussionit helps. Go to office hours or email for help on essays and group projects.","['Group projects', 'Graded by few things', 'EXTRA CREDIT', 'Clear grading criteria', 'Caring']"
Kasey S Tarantino,,[]
Melissa J. Ferguson,This class was ridiculously easy as long as you show up to lectures and do the readings. The class itself is interesting but the textbook is super boring - just skim the chapters and you'll be fine. 2 exams and a non-cumulative final - all multiple choice with a few short answers. Lots of bonus/extra credit point available. Prof is really sweet,"['Amazing lectures', 'Inspirational', 'Respected']"
Anum  Asi,,[]
Geoffrey  Fisher,,[]
Deborah  Estrin,,[]
Charles G. Danko,,[]
Mahdi  Asgari,,[]
Susan Lawson Fubini,,[]
Serge J. Belongie,,[]
James  Renegar,The real deal in ORIE. Make sure to take his classes if you want to learn some good old mathematics. Took his 5370 back in 2016. Hope he still teaches the class. The guy has high level of seriousness in both teaching and research. Legend.,"['Clear grading criteria', 'Caring', 'Lecture heavy', 'Tough grader', 'Group projects']"
Alexander  Nikitin,,[]
Maria Alejandra Gandolfo Nixon,,[]
Kelly  Musick,Families and Social Inequality is pretty easy but there are 2 decent sized papers that will take a little while and 3 homework assignments that are quick. The content is pretty interesting and I'd definitely recommend the class,"['Group projects', 'Tests? Not many', 'Respected']"
Peter  Enns,"Peter is by far the most helpful professor I have had at Cornell. He is always approachable after class and gives detailed comments on papers. Go to his office hours even if you don't have a specific question to ask. He is a nice person to talk to and he really likes getting to know students personally. The nicest and most helpful government professor out there. I usually don't like government courses, but he sure made it fun. Highly recommended. No Comments",[]
Matthew T. Reiter,,[]
Steven Edward Kraus,,[]
Patrick  Fulton,,[]
Marla E. Lujan,"Lab component was great, very hands-on.  It is a lot of material, but manageable if you plan well.  Go to class. She's great, knows her anatomy cold!  Really enjoyed this class, she was a big reason for that. Can't go wrong with Dr. Lujan. Want a solid foundation for anatomy and physiology?  Can't go wrong with this class.  Prof Lujan is awesome (and quite attractive btw) Just took this course this past spring - wasn't too keen on anatomy but Prof Lujan made it fun and interesting.  Thinking of pursuing graduate work in anatomy as a result of her class.  She was great, very dedicated.","['Get ready to read', 'Amazing lectures', 'Gives good feedback', 'Participation matters', ""Skip class? You won't pass.""]"
Xoco  Shinbrot,,[]
Harry Mason Kaiser,,[]
Shiri  Azenkot,,[]
Adrienne H.K. Roeder,,[]
Gary William Evans,,[]
Aaron  Holiday,,[]
Galina M. Hayes,,[]
Misako  Suzuki,"You have to REALLY want to learn Japanese to do well in this class. Suzuki is very nice, but she works hard and expects students to do so too. Great Professor. Teaches very clearly and is friendly all the time. In order to get an A, you DO have to attend every single lecture and discussion (a total of 7 times a week); be very well prepared every day and hand in every homework on time. This way, you will find Japanese interesting. Overall, you will learn a lot in her class, and have fun. Suzuki sensee is a stickler in class for being prepared, but overall, nice and helpful. Suzuki is too sweet :) Suzuki-sensei is the most professional person I have met at this university. She is always SO prepared, but still seems very relaxed and natural in class.",[]
Wayne S. Schwark,,[]
C.-Y. Cynthia  Lin Lawell,,[]
Chris Brian Watkins,,[]
Claire T. Cardie,"So disorganized, unclear lectures Professor Cardie herself is accessible and tries to be helpful. However, the rest of the course stuff was disorganized and it felt like Professor Cardie was out-of-loop regarding her own class, especially in terms of the assignments. Very interesting class but beware the projects, very open-ended, unclear and time consuming. This class was very interesting, and the programming assignments, while long, were excellent. Professor Cardie was frequently quite unclear with concepts, and Piazza was very seldom used by the instructors, so it would take a long time to get what was quite often a less-than-helpful response. Assignments were graded easily, but the final was tough. Lectures can be a little dry (and she sometimes seems a bit nervous?) but Prof Cardie is super nice and helpful in person. Programming projects are interesting and not too hard. Needs to hire better or more TAs, though - I've taken both IR and NLP with her and both times the TA team was sub-par wrt to responsiveness and knowing what's going on. Information Retrieval is an interesting class. Claire is a pretty good lecturer, and bring her dog to class often.  The one major flaw for this course was the grading structure, which as fairly ambiguous. This year 60% of the grade came from 3 problem sets, which were not easy.  The pacing of the course is good, and Claire is willing to help you.","['Participation matters', 'Tests? Not many', 'Lecture heavy', 'Accessible outside class']"
Matthew R Willmann,,[]
Viktoria  Tsimberov,Lots of novel vocab in her speaking makes her hard to understand but good for learning. Ask nicely what stuff means and she'll explain. Wants to make class fun,['Participation matters']
Joseph  Skovira,Very kind and helpful professor. Class is super easy and has a fun group project at the end that serves as an excellent element in your resume.,"['Group projects', 'Caring', 'Accessible outside class']"
Edward Eugene Baptist,"Mean guy. Horrible lecturer that will put you to sleep every time. very unreasonable and gives off bad vibes. lecture is all over the place and class has no structure. Not too hard depending on your TA Mean guy. Unreasonable. Probably unhappy with his life -- I've heard stories about him only justified by extreme unhappiness with his own life. After taking his class, he changed my entire perception of academia and confirmed the suspicion ""those who cannot do, teach."" Fears face-to-face confrontations. Baptist is a nice guy and knows a ton but only an OK lecturer. Kind of rambles on and gets off topic easily. Lectures have nothing to do with what the tests are on. Assigned readings are very specific and pretty interesting. Discussion sections were pretty boring. Class was not as interesting as I thought it would be. Prof. Baptist's Obama and Lincoln course was extremely informative. Some called the course premature but it was probably one of the best courses I've taken at Cornell. Baptist is very helpful during office hours and deeply cares about his students' opinions. Yes, he is a stickler for clear writing but what professor isn't? I highly recommend him! A bit dry in lecture, but extremely knowledgeable about the subject. Chooses great books. As aren't impossible if you write clearly and ALWAYS check your work for errors.",[]
Ben  Cosgrove,Prof Cosgrove is probably the best professor I've had at Cornell so far. He truly and completely understands what he is talking about and has a very clear lecture style that makes it easy to learn from him. He cares a lot about the success of his students and wants to see everyone succeed.,"['Amazing lectures', 'Caring', 'Respected']"
Kathie Therese Hodge,Professor Hodge is outstanding. Be sure however to prepare for the prelims and final. I didn't end up doing the best in her mushrooms class because I didn't study so much. If you put in the work you definitely will do well and the lectures are interesting.,"['Amazing lectures', 'Hilarious', 'Caring', 'EXTRA CREDIT', 'Clear grading criteria']"
Veronica Ann Fitzpatrick,,[]
Ilana Lauren Brito,,[]
Glenn  Case,Glenn was my professor and my section TA as well. I can say that he is very knowledgable and cares about students learning. I worked extremely hard in this class and I really enjoyed E&amp;M because of him. I don't know why people are complaining about him when half of them don't even show up to lecture.,"['Tough grader', 'Test heavy', 'Graded by few things', 'Lots of homework', 'Amazing lectures']"
Jery Russell Stedinger,"Stuff is substantial but EXTREMELY confusing. Ridiculous Hw grading. Very confusing lectures. Essentially took what might have been very simple statistics topics and made them as confusing and impossible to understand as possible. Would not take this class again, and it was that feeling that pushed me to do my best to pass this class-- I didn't ever want to come back. This feeling was shared by most of the class. Assigns a ton of work and the course is pretty irrelevant. He's been teaching the same course for years and clearly doesn't actually change much. Prof Stedinger definitely knows his material, but the way he teaches it can get confusing. He's hilarious, but sometimes it detracts from the lecture. He takes feedback for the class very seriously. Overall, Stedinger is a decent professor. Overall decent prof. He can be confusing in lecture sometimes, but he's very approachable for help if you need it. He's also a hilarious guy!","['Tough grader', 'Lots of homework', 'Lecture heavy']"
Victor M Flores,,[]
Sunghwan  Jung,,[]
Paul  Ginsparg,"The professor is very intelligent, funny, and dorky. His communication skills are absolutely horrible so you need to go to his or TA's office hours (available M-F). This class is really interesting and fun, but get ready to dedicate a lot of time into it especially if you don't have programming skills. If you hard working or really smart, take it!","['EXTRA CREDIT', 'Lots of homework', 'Respected', 'Accessible outside class', 'Tough grader']"
Todd Steven Webster,,[]
Martin D. Kassabov,The lectures were confusing sometimes but he generally did a good job. The most accessible and easy to talk to professor I've had here. Explains things very thoroughly one-on-one.,"['Accessible outside class', ""Skip class? You won't pass."", 'Would take again', 'Inspirational', 'Lots of homework']"
M. Diane  Burton,,[]
Charles  Walcott,,[]
Adrian S. Lewis,"Adrian is an amazing lecturer. i can't believe he made a topic as dry as opts so fascinating to a non-OR major. It's cute how passionate he gets about the material and I really did learn a lot. The tests are pretty tough though, so make sure you actually go to lecture if you want to stand a chance.","['Tough grader', 'Amazing lectures', ""Skip class? You won't pass."", 'Would take again', 'Accessible outside class']"
Simone Harmath De Lemos,,[]
Christian J. Miller,,[]
Cyrus Jehangir Umrigar,,[]
Joshua  Hartmann,,[]
Nate  Veldt,,[]
Adam Wojciech Bojanczyk,"he has an accent, and his handwriting isn't the best.  that said if you don't understand something, just ask him!  he encourages this.  I was initially put off by these things, but after a few weeks I realized he is always open to clarification.  Awesome guy, very fair grader, wants his students to succeed.","['Respected', 'Accessible outside class', 'Participation matters', 'Amazing lectures', 'Tests? Not many']"
Peter  Caswell,,[]
Bruce R. Kusse,"Great guy. He doesn't even make us add. He knows what he's talking about. Looks like Adam West, but he's still my favorite all time professor!  You better know your math though! This is the only professor I didn't like that I would recommend. He doesn't sound like he is speaking to the class when he is teaching, which is weird. He wrote the textbook and teaches word for word from the book. The class covers chapters 10-15, which are totally unrelated. He is a very serious person, but intends to be helpful I think. Best math class ever. I am a practicing engineer and constantly go back to the book/notes. Kisses rocks. Kusse is one of the most iconic professors you will ever have. Students will fear him and love him at the same time. He knows his material, but isn't the most willing to look at problems another way or admit he is wrong. In any case, he's a cornerstone to the AEP degree, so you might as well learn to love him.","['Inspirational', 'Hilarious', 'Caring']"
Theodore  Korzukhin,,[]
Nicholas James Sanders,"Super easy class. I went to 2 lectures (I should have gone to more as he is a good lecturer), did not study for any of the prelims and did not go to my section a single time. I think if you just go to lectures and section and pay attention an A is pretty much guaranteed. I had two other friends who actually did the work and they both got A+'s","['Accessible outside class', 'Amazing lectures', 'Test heavy', 'Clear grading criteria', 'Inspirational']"
Stephen John Ceci,"Six Pretty Good Books was co-taught by Prof. Ceci and Prof. Macy (and has been taught by Prof. Hancock before). I took it to fulfill requirements, but it turned out to be a REALLY interesting class. Authors included Duncan Watts and Malcolm Gladwell, and some visitedskyped in for Q&A. Definitely talk to Prof. Ceci after class--he is SO nice!!",[]
Patricia Ann Cassano,,[]
Arthur T. Degaetano,"A very animated and passionate lecturer - you can tell he cares about the subject. He also genuinely wants students to succeed and always answers questions. Prelims are pretty straightforward and similar to class examples, and he gives good study guides.","['Tough grader', ""Skip class? You won't pass."", 'Test heavy']"
Kent Lovering Hubbell,,[]
Suman  Seth,"Professor Seth is the best professor at Cornell. It's just true. He challenges you with heaps of reading and writing, but if you do the work, you'll gain a lot. All majors will learn more than they bargained for in his courses. Visit his office hours. Though he gives awesome lectures, he's not as intimidating as he originally comes across.","['Tough grader', 'Lots of homework', 'Get ready to read', 'Amazing lectures', 'Inspirational']"
Timothy C. Campbell,,[]
Sherene Barbara Baugher,This class requires your participation and I really enjoy digging and searching for artifacts in the state park :D Professor Baugher is so knowledgeable and also a nice person. Recommend this class if you're ready to do fieldwork.,"['Participation matters', 'Clear grading criteria', 'Gives good feedback', 'Caring', 'Respected']"
Adam T. Walden,,[]
Michael Andrew Tomlan,,[]
Michael F. Lovenheim,"I found this prof to be unapproachable and smug.  Can't recommend. Lovenheim is the man! His class was interesting and yet challenging and he is always willing to help.  The best professor I have had in the department. His lectures are interesting, fun and challenging. Although he sometimes talks in circles, he is still great to listen to for 90 minutes. His tests are hard, but he is really fair and always available for help. Highly recommended, I learned a lot! Great guy, all around. The nicest, most helpful professors I've had at Cornell. The class sucked but it's not his fault; econometrics is hard and required. However, he made it as enjoyable as possible (albeit that is still not very enjoyable). I highly recommend taking a (different) class with him.  He'll bend over backward to help any student! One of the hardest PAM classes. If not the hardest.  what makes this class rough is 1) PSETS: very, very long, from 10-25 hours, and 2) STATA (which you need for psets), 3) ridiculous exams that are way too crammed for the alotted time. Be prepared for those 3 things ruining this class.","[""Skip class? You won't pass."", 'Clear grading criteria', 'Would take again']"
Kristoffer  Nimark,Good class for non-economics majors. Economists usually miss the graphs and math. TA is helpful for hws.,"['Tough grader', 'Test heavy', 'Get ready to read', 'Lecture heavy']"
Nina E. Scholtz,,[]
William Y. Arms,,[]
Jennifer Parker Wissink,"Good Professor, she is very interesting and is passionate about the subject. Two ways of grading which can help students. Attendance is not mandatory but it helps your grade. If you want an A, study previous exams, do the MEL online quizzes, and attend the lectures!","['Clear grading criteria', 'Tough grader', 'Lecture heavy', 'Test heavy', ""Skip class? You won't pass.""]"
David Hines Holmberg,"Lectures are boring, talks about one main culture in class and leaves it up to the TA's to discuss the readings in section. Lots of reading, but overall not a difficult class. Pop quizzes have really specific information on them.  Lectures are so boring, lots and lots of reading assignments, however, material is not terribly difficult. Requires 2 essays and also give pop quizzes on readings My problem with Prof. Holmberg is that he doesn't really teach anything useful. Instead of focusing on the broader subject of Anthropology, he expects students to know things about the specific cultures studies in class. His lectures are not organized at all, making it difficult to take good notes. Assigns a lot of reading, and tests on all of it. Professor Holmberg is a really interesting guy. He is very passionate and he clearly loves what he teaches. Myth Ritual and Symbol was a GREAT class. It was incredibly interesting and I learned so much. Lots of reading, but its all interesting and almost fun to read. Take this class! His lectures are interesting and you can tell he loves the subject, but his voice is incredibly soporific. As long as you pay attention to class and do the readings (lectures and readings cover completely different material) you will be fine. Pretty easy grader overall.","['Get ready to read', 'Beware of pop quizzes', 'Lecture heavy']"
Gretchen L. Schoeffler,,[]
Tess Maureen Clancy,,[]
Teresa L. Southard,,[]
A. Brad Anton,,[]
Amelia Greiner Safi,,[]
Mitchel  Lasser,,[]
Susan K. Brown,,[]
D G. Rossiter,,[]
Priscilla  Timberlake,,[]
Yaniv  Grinstein,,[]
Andre  Dhondt,,[]
Karyn A. Havas,,[]
Tamara C Acosta,,[]
Peter  Dear,"Strong lecturer but a bit distanced from the class. He encourages people to ask questions, but most people did not. I can imagine some people were sometimes bored, but as someone interested in questions of the cultural/political/philosophical origins of modern science, I found the lectures informative and interesting.","['Tough grader', 'Get ready to read', 'Lecture heavy', ""Skip class? You won't pass."", 'Clear grading criteria']"
Ross Everett Tate,,[]
Pascal  Schwaighofer,,[]
Saule T Omarova,,[]
Yi  Chen,,[]
Timur  Dogan,,[]
Jonathan S. Tenney,Professor Tenney is super funny and is really passionate about the Near East.  His Myth and Religion in Mesopotamia class is fun and engaging.  He's a big fan of student participation and classroom discussion but doesn't penalize quieter students.  I genuinely enjoyed going to his class and learned a lot.  Take this class!,"['Hilarious', 'Get ready to read', 'Participation matters', 'Amazing lectures', 'Respected']"
Helen  Nissenbaum,,[]
Charles Francis Brittain,,[]
Rema  Toopal,,[]
April  Gu,,[]
Chris  Forman,,[]
Robbert  Van Renesse,"the whole course is a mess and won't teach you much stuff. The professors and TAs are unhelpful. You'd rather self-study instead of taking this class Although he is kind, its clear he did not spend much time preparing for lecture. This resulted in a very disorganized course.",['Graded by few things']
Greg  Ezra,,[]
Harald  Haraldsson,,[]
Garrick  Blalock,"Go to lecture, pay attention, go to section, follow along the problems, do the problems sets. If you do all those plus a quick review (maybe 1-2 hours) before the exam you will do well. The exams are exactly like the problem sets.   Go to class, do the hw, be a good student for once and you'll do fine.","['Amazing lectures', 'Participation matters', 'EXTRA CREDIT', 'Group projects', 'Gives good feedback']"
Dwight Douglas Bowman,"Overall, really easy class but requires time to rote memorize. Go to class. Memorize slides cold. Get the extra credit points. Get an A+ and pat yourself on the back. Probably the best professor I've had here. He goes through a lot of material but he makes it wildly interesting. Additionally, he really cares about his students doing well and he goes out of his way to help. Definitely the most interested, interesting, and caring professor I've seen. Probably the best class I've taken here. Dr. Bowman is extremely interested in what he is teaching and in doing whatever he can to help his students do well. The material isn't easy, but it's wildly interesting and Dr. Bowman makes it fun. I definitely recommend giving this class a try. Too much information on slides. Slides are poorly organized with no structure to them. Talks too quickly, glosses over topics such that lectures becomes confusing. Exams are difficult and require LOTS of memorization of detail. Final is comprehensive, ridiculous given how many parasites are covered. Tests are very hard. Have to remember many species and specific details about life cycles, length, location. It is way too much information and detail to remember for each exam.  Too much details on slides, and need to memorize huge amounts of info. Can't cram for exams. Hard exams.",[]
Lawrence B Shuster,,[]
Arturo Florentino  Ruiz Mautino,,[]
Cynthia Anne Leifer,"Dr. Leifer was an amazing lecturer. She covers the innate immunity portion of the course, which she knows inside out like the back of her hand. Her explanations are abundantly clear and her lectures are thoroughly engaging. She also occasionally says witty things to keep you entertained. She's my favorite lecturer from the course.","['Amazing lectures', 'Would take again', 'Respected']"
Catherine M. Appert,Fun and interesting class; you'll learn a lot about African history and culture while doing some cool music workshops. Professor clearly enjoys teaching the course  and is always available to help you improve your papers and assignments.,"['Tough grader', 'Participation matters', 'Gives good feedback', 'Accessible outside class']"
Chenyun  Li,,[]
Edwin (Todd)  Cowen,"His lectures were fun, wish that I could've gone as an audience member only, not a student who needed to take notes and worry about how crazy hard this course was the whole time. Time consuming homework: yes. Tests were extraordinarily difficult: yes. Lab was good enough, I suppose. He needs better TAs too, but everything in this course needs work. I took CEE fluids instead of BEE's (despite being a BEE major) because I'd heard good things about Cowen. In the end, I was not disappointed. When I was almost on track to fail, Cowen was very encouraging and helpful. He got me through the class. Lectures were sometimes boring, but could be pretty interesting at other times. Class is pretty tough - the problem sets are long and involved and the exams are pretty difficult, even though they're open note/book.  Cowen is nice though, and the labs are kinda cool.  It seems boring at first, but the class gets more interesting as it goes along.  Textbook was very helpful. good professor. the lecture notes are really helpful when it comes to test time. also, the best dressed professor in engineering. He is a nice guy that wants you to do well. But, his tests are far from easy- open note, book and twice as much time as you need. If you work hard, you can do well. I'm still not sure how big the curve is.","['Tough grader', 'Lots of homework', 'Lecture heavy']"
Jonathan M. Billing,,[]
Neil Anthony Lewis,,[]
Eric  Yeung,,[]
Casey Brandon Dillman,,[]
Jaclyn  Kelley-Widmer,,[]
Adeolu Aderinola Ademoyo,"Compared to other language courses, this is definitely one of the best options. He is EXTREMELY disorganized which makes the course much more stressful, but he ultimately gives everyone a good grade (A- or above), unless you are really bad then maybe he'll give you a B+. Much less work than other language classes. He acts a lot and is fun also! He's a good professor, his grading is haphazard though and there's more emphasis on speaking the language than actual tests I really enjoyed this class! ADEMOYO IS A GREAT PROFESSOR! He aims to have his students learn the material but does not overwhelm them. The class is totally manageable and the professor is extremely helpful. Best language class I've EVER taken :) Insane teacher!! Really animated and funny. Subtly disguises heavy philosophy in jokes. A good class to have in Freshman year. Very nice professor. Likes to encourage students. Informs us on ongoing political and cultural issues. He's very animated and enthusiastic about teaching. Sometimes he's a little too nice to undeserving students. It's not even a hard class! Simply attend and learn Yoruba (the best language and people in the world! :-) )",[]
Edward  Suh,,[]
George H. Beimel,,[]
Jumay Ruth Chu,,[]
Nancy  Chau,One of the better professors in AEM,[]
Kim  Haines-Eitzen,"She was well-prepared, kind, personable, and very knowledgeable on the subject. She also delivered very sensitive content without controversy.","['Caring', 'Participation matters', 'Clear grading criteria', 'Gives good feedback', 'Respected']"
Yang  Ning,YOU MUST TAKE THIS CLASS if you are interested in statistical learning and want to be exposed to some of the basic machine learning concepts.,"['Amazing lectures', 'Gives good feedback', 'Respected', 'Accessible outside class', 'Group projects']"
Michael J. Scanlon,,[]
Samuel David Alcaine,,[]
Razima  Chowdhury,,[]
Samantha  Zacher,"This class one so well thought out. There was a flow between topics that really made sense and the texts we read were fun! (Especially the section on John Mandeville). Would highly recommend taking a course from Professor Zacher!  As my first four-thousand level English course, especially one on the roots of anti-Semitism, I was nervous as to what this class would be like. Professor Zacher was amazing. Not only did she her happy energy lighten some of the heavy readings, every lecture was engaging. This class (and its professor) are wonderful. Would recommend highly! Professor Zacher is incredibly knowledgeable, funny, and gets you thinking far beyond the classroom in ""The Imaginary Jew."" The course is a brilliant interweaving of films, manuscripts, books, and poems. There is lot of writing (which was a good thing) but the class was not only English majors. Fascinating and very well taught- TAKE THIS CLASS Professor Samantha Zacher is an incredibly warm, funny, engaging individual. Her enthusiasm and her teaching abilities make class easy and really enjoyable. She is also invested in her students and their work. She takes the time to read and comment closely on your papers, improving your knowledge and your writing abilities at the same time. I love Professor Zacher!  She made an obscure topic (Icelandic lit) fascinating by her enthusiasm and obvious expertise.  She wants her students to do well and learn and is willing to spend time helping them do so.  Her class was not easy, but it was not stressful either.  If for no other reason, take her class to learn how to be chic!","['Gives good feedback', 'Hilarious', 'Would take again', 'Respected']"
Ryan C. Wright,,[]
Julia  Felippe,,[]
Ella Maria Diaz,,[]
Meena Madhav Haribal,,[]
Runting  Shi,,[]
Paul S. Maza,,[]
Mary  MacAusland,"AMAAAAAAZZZINNNGGGG professor. I hated accounting before I started. I still hate accounting, but she was really so willing to help and tried to make it as easy as possible to understand.","['Lots of homework', 'Accessible outside class', ""Skip class? You won't pass."", 'Gives good feedback']"
